link,id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,Unnamed: 31,Unnamed: 32
https://m.weibo.cn/detail/4896904183286591,4896904183286591,MEEV4dMZx,#三只松鼠# 你知道吗？阿鼠每天只想吃两样东西这也想吃，那也想吃 ,,"https://wx1.sinaimg.cn/large/98960f80ly1hdf86y1jvsj24g02yo1l2.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hdf878nt95j24g02yohdw.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdf874dadej24g02yo1l3.jpg",,,2/05/2023,微博网页版,60,44,7,三只松鼠,,2/05/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4896700340113102,4896700340113102,MEzCi0tqe,#刷完这条说晚安# 五月人设：吃坚果最快的那只鼠你的五月人设是： ,,,,,1/05/2023,微博网页版,47,39,6,刷完这条说晚安,,1/05/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4896511601934804,4896511601934804,MEuHS87kw,#劳动节#快乐，劳有所获，心有所向今天，吃袋坚果，小小的犒劳一下自己哇 #向劳动者致敬# ,,https://wx2.sinaimg.cn/large/98960f80ly1hdf7zqghs4j20u01hch8u.jpg,,,1/05/2023,微博网页版,56,44,7,"劳动节,向劳动者致敬",,1/05/2023 9:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4896337952775250,4896337952775250,MEqbNbDY6,#刷完这条说晚安#最好的朋友突然来到了你的家乡，你打算第一顿带TA吃_____ ,,,,,30/04/2023,微博网页版,41,45,6,刷完这条说晚安,,30/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4896179413059351,4896179413059351,MEm45cPSn,#三只松鼠# 有被桑葚汁染色困扰的主人吗？ 三只松鼠的微博视频 ,,,"https://f.video.weibocdn.com/o0/ifJg1SzVlx0850XpGLAc01041200l5yc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1683359962&ssig=Kti55zAA48&KID=unistore,video",,30/04/2023,微博视频号,44,43,8,三只松鼠,,30/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4895975568835533,4895975568835533,MEgLiB4wB,#刷完这条说晚安# 现在，你在哪座城市？正在干什么？ ,,,,,29/04/2023,微博网页版,53,56,7,刷完这条说晚安,,29/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4895817019953144,4895817019953144,MEcDzFLgA,#五一假期第一天的状态# 别人的五一：大环线旅游我的五一：客厅卧室来回跑#年轻人在休一种很新的假# ,,https://wx3.sinaimg.cn/large/98960f80ly1hdf5hmm718j20u01hce16.jpg,,,29/04/2023,微博网页版,88,69,12,"五一假期第一天的状态,年轻人在休一种很新的假",,29/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4895613177042702,4895613177042702,ME7kNty7Y,#刷完这条说晚安# 已经启动假期旅游的主人集合啦 #五一 春运# ,,,,,28/04/2023,微博网页版,27,32,7,"刷完这条说晚安,五一 春运",,28/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4895454632608487,4895454632608487,ME3d5aWAn,#三只松鼠# 五一假期的目标是： ,,https://wx4.sinaimg.cn/large/98960f80ly1hdf5b7n05kj20rs17c7fb.jpg,,,28/04/2023,微博网页版,78,63,11,三只松鼠,,28/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4895250810145471,4895250810145471,MDXUl0BQj,#刷完这条说晚安# 本条收集主人们最喜欢的聊天背景图呀 ,,,,,27/04/2023,,53,42,8,刷完这条说晚安,,27/04/2023 21:30,True,,,,,,,,,,,,,,,,,
