link,微博id,微博正文,头条文章url,是否为原创微博,发布时间,点赞数,转发数,评论数
https://m.weibo.cn/detail/LvU1t53ei,LvU1t53ei,#龙腾虎跃海峡两岸赛龙舟活动##端午节#我们正在直播“龙腾虎跃” 2022海峡两岸赛龙舟活动第二天盛况！经过一天奋战，300米直道赛冠军终花落谁家？端午民俗何为“点雄黄”？明星连线将分享多少端午趣事？影视作品里的端午文化有哪些……@白鹿my 、@蔡卓妍 、@演员郭晓东 、@吉娜爱丽丝Gina 、@李晨 、...全文 ,,True,2/06/2022 22:09,82112,26408,20859
https://m.weibo.cn/detail/MeGcelkPQ,MeGcelkPQ,#2022直击金鸡奖#电影频道联合厦门广电5G+360°融媒体全景直播第4天！第35届中国电影金鸡奖进入闭幕倒计时，闭幕式红毯、颁奖典礼全程直播，年度优秀影人集结，共同见证顶级电影荣誉诞生；#2022星辰大海青年演员优选计划#“三天三夜”采风创作活动正式结营，青年演员们将整装待发，崭新亮相金鸡舞台；更...全文 ,,True,12/11/2022 14:27,4414,330,20164
https://m.weibo.cn/detail/LzIbI18Og,LzIbI18Og,#25岁的王一博祝福香港回归25周年##王一博standup鼓励青年朋友不负青春#今年也恰逢25岁的王一博在庆祝香港回归25周年云歌会上演唱了歌曲《Stand Up》，鼓励青年朋友不负青春，勇往直前。迷人的旋律，节奏感十足。#香港回归祖国25周年云歌会#  中国电影报道的微博视频  ,,True,27/06/2022 23:23,237084,78759,19533
https://m.weibo.cn/detail/LvSX4B3BN,LvSX4B3BN,#女演员的古装造型有多惊艳#《梦华录》定档6月2日，刘亦菲古装造型引来观众们的“回忆杀”。在以往的仙侠古装剧中，也有不少女演员的古装造型绝美、经典、仙气十足。你曾被哪些女演员的古装造型惊艳到？@杨紫 ：《香蜜沉沉烬如霜》（2018年）花神之女锦觅，其真实原身为一朵霜花。@杨幂 ：《三生三...全文 [组图共9张] 原图 ,,True,2/06/2022 19:26,143421,782,18966
https://m.weibo.cn/detail/JEx5bFxyB,JEx5bFxyB,#武汉日夜15小时50城直播# 武汉的日夜，是中国人共同的记忆，平凡的你我，皆是这场故事的主角。@赵丽颖 真诚推荐纪录电影《武汉日夜》：“在武汉抗疫期间，你们逆行出征，怀大爱，救人间，你们是家乡的骄傲，也是祖国的自豪。76个日夜的守望相助，才尤换得山河无恙。”#电影武汉日夜#1月22日全国公映...全文 ,,True,23/01/2021 18:50,22369,1914,18923
https://m.weibo.cn/detail/LbtlFg1DH,LbtlFg1DH,#王俊凯如果与他人不同是一种病#葛优、@TFBOYS-王俊凯 领衔主演电影《刺猬》先导预告曝光，王俊凯嘴里，手上被针扎成刺猬也很妙，刚好对应上片名刺猬。他们都是不被主流接受的“病人”，却成为彼此的忘年交。  [组图共2张] 原图 ,,True,19/01/2022 13:29,8311,10469,17942
https://m.weibo.cn/detail/MvUbWg7wq,MvUbWg7wq,#肖战读雷锋日记# @X玖少年团肖战DAYTOY 在“学习雷锋好榜样”电影频道融媒体直播中读《雷锋日记》选段——人的生命是有限的，可是为人民服务是无限的。“只要我们心存善念，相互搀扶，相互激励，人人都可以成为新时代的雷锋。”跟肖战一起学习雷锋精神，做更好的自己！#把雷锋精神代代传承下去# 中国电影报道的微博视频                                 ,,True,5/03/2023 21:20,270999,63296,17271
https://m.weibo.cn/detail/Ks3W4uk23,Ks3W4uk23,#余生请多指教定档# 杨紫、肖战主演新剧《余生请多指教》定档9月8日播出。该剧讲述肖战饰演的消化病学中心外科主刀医生顾魏，和杨紫饰演音乐系大三学生林之校相爱的故事。  原图 ,,True,5/08/2021 17:18,255562,13753,17210
https://m.weibo.cn/detail/L86qEoDIQ,L86qEoDIQ,【直播|#直击金鸡奖# 5G融媒体全景直播第二天】第34届金鸡奖正式拉开帷幕，入场仪式、开幕式暨提名者表彰仪式集结年度优秀影人，@刘烨 @张子枫 @韩雪 @俞灏明 @郑钧 @TFBOYS-王俊凯 等以歌舞讲述金鸡40年，开幕式嘉宾做客分享金鸡荣誉瞬间；#2021星辰大海青年演员优选计划#“三天三夜”生活体验课正式开营，40位青年演员将通过随机抽题等仪式感环节开启未知考验，组队前往厦门同安、集美、翔安、海沧等地区完成身份角色大转变，体验前所未有的无剧本全纪实……40位青年演员将解锁哪些新技能、新“人设”？哪些神秘嘉宾将作为“导师”“班主任”惊喜亮相？更多精彩，锁定直播，不见不散！ 中国电影报道的微博直播 “直击金鸡奖”5G融媒体全景直播第二天                                 ,,True,28/12/2021 9:37,22149,1031,16998
https://m.weibo.cn/detail/LvZM5y89N,LvZM5y89N,#王一博说一直在追求龙舟精神##王一博端午节祝福#@UNIQ-王一博 祝大家端午安康！#龙腾虎跃海峡两岸赛龙舟活动#直播中，王一博称赛龙舟敢为人先力争上游，永不放弃的团队精神让自己感动，也是自己一直追求的精神。  中国电影报道的微博视频  ,,True,3/06/2022 12:48,133222,41314,16906
